Wavelength,Intensity
624.2,30.3
624.3,34.5
624.39,31.5
624.48,25.9
624.58,31.9
624.67,35.4
624.76,35.4
624.86,36.6
624.95,26
625.04,30.4
625.14,32.9
625.23,35.3
625.32,40.4
625.42,36.5
625.51,40.6
625.6,43.1
625.7,48.5
625.79,53.7
625.88,53.7
625.98,57.2
626.07,83.3
626.16,224.8
626.25,1213.9
626.35,3969
626.44,8692.5
626.53,13698.3
626.62,16054.2
626.72,15165.5
626.81,12056.2
626.9,6848.2
626.99,2032.7
627.09,242.4
627.18,71.7
627.27,59
627.36,52.2
627.46,43.9
627.55,41
627.64,41.4
627.73,42.5
627.82,38.1
627.92,32.9
628.01,29.8
628.1,31.4
628.19,36.7
628.28,33.2
628.38,31.2
628.47,28.1
628.56,28.2
628.65,29.7
628.74,34.8
628.83,34.1
628.93,34.1
629.02,27.5
629.11,34
629.2,35.6
629.29,41.5
629.38,39.1
629.47,36.8
629.57,38.6
629.66,40.9
629.75,50.1
629.84,43.6
629.93,46.8
630.02,142.5
630.11,620.9
630.2,1866
630.29,3617.3
630.38,5075.4
630.48,5520.3
630.57,5010.6
630.66,3678.2
630.75,1863.6
630.84,442.8
630.93,68.8
631.02,41
631.11,45.6
631.2,47
631.29,46.4
631.38,42.2
631.47,39.9
631.56,41.4
631.65,41
631.74,44.2
631.83,41.8
631.92,33.8
632.01,36.7
632.1,38.4
632.19,52.3
632.28,49.4
632.37,43.5
632.46,47.6
632.55,57.6
632.64,70.6
632.73,87.2
632.82,100.8
632.91,149.4
633,551.4
633.09,2531.4
633.18,7379.3
633.27,13440.7
633.36,17651.9
633.45,18154.9
633.54,16097.1
633.63,11525.5
633.71,5487.6
633.8,1123.6
633.89,144.8
633.98,71.1
634.07,64.5
634.16,63.3
634.25,53.9
634.34,42.4
634.43,41.5
634.52,46.9
634.6,47.6
634.69,49.2
634.78,40.4
634.87,39.3
634.96,43.9
635.05,46.3
635.14,46.4
635.22,45.6
635.31,40.7
635.4,42.9
635.49,46.1
635.58,45.3
635.67,51.4
635.75,42.2
635.84,45
635.93,43.2
636.02,49.7
636.11,48.5
636.19,49
636.28,45.7
636.37,50.7
636.46,52.9
636.55,60.9
636.63,60.2
636.72,54
636.81,53.6
636.9,58
636.98,63.4
637.07,71
637.16,73.6
637.25,68.9
637.33,76
637.42,90.1
637.51,95.9
637.6,108.1
637.68,121.5
637.77,225.1
637.86,896
637.94,3845
638.03,10372.2
638.12,19687
638.2,27950.5
638.29,30276.6
638.38,28745.3
638.47,22048.4
638.55,11876
638.64,2967.4
638.73,350.5
638.81,144.4
638.9,127.6
638.98,113.6
639.07,106.1
639.16,103.1
639.24,102
639.33,108.7
639.42,119.2
639.5,131.4
639.59,163.9
639.68,263
639.76,917.7
639.85,4218.6
639.93,12471.6
640.02,24915.4
640.11,38641.2
640.19,44763.9
640.28,43555.3
640.36,36323.6
640.45,23429.9
640.53,8760.6
640.62,1135.8
640.71,238.2
640.79,160.9
640.88,128.9
640.96,101.3
641.05,90.4
641.13,77
641.22,71.8
641.3,67.2
641.39,55
641.47,48.5
641.56,50.4
641.64,45.7
641.73,47.6
641.81,46.3
641.9,35.6
641.98,39
642.07,42.2
642.15,46.2
642.24,47.1
642.32,38.8
