ENLIGHTEN Version,2.2.7
Measurement ID,20210319-101104-560203-WP-00532
Serial Number,WP-00532
Model,WP-532-R-SR-S
Label,10:11:04 WP-00532
Declared Match,
Declared Score,0
Scan Averaging,5
Boxcar,0
Technique,Scope
Baseline Correction Algo,
ROI Pixel Start,1023
ROI Pixel End,1023
Slit Width,50
Vignetted,False
Interpolated,False
Raman Intensity Corrected,False
Deconvolved,False
Integration Time,100000
Timestamp,2021-03-19 10:11:04.560203
Note,
Temperature,9.942695953194743
CCD C0,534.4705200195312
CCD C1,0.12332911789417267
CCD C2,-1.4740236110810656e-05
CCD C3,-2.6965287780456038e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,532.0
Laser Enable,False
Laser Power,100
Laser Temperature,0
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
245,563.76,1059.00,24687.00,24687.00,
246,563.88,1062.64,22270.00,22270.00,
247,563.99,1066.27,24077.00,24077.00,
248,564.11,1069.90,22737.00,22737.00,
249,564.22,1073.53,23227.00,23227.00,
250,564.34,1077.16,25106.00,25106.00,
251,564.45,1080.78,23085.00,23085.00,
252,564.57,1084.40,22612.00,22612.00,
253,564.69,1088.02,22357.00,22357.00,
254,564.80,1091.64,23610.00,23610.00,
255,564.92,1095.25,22635.00,22635.00,
256,565.03,1098.86,24412.00,24412.00,
257,565.15,1102.47,28711.00,28711.00,
258,565.26,1106.08,25477.00,25477.00,
259,565.38,1109.68,29991.00,29991.00,
260,565.49,1113.28,33634.00,33634.00,
261,565.61,1116.88,39800.00,39800.00,
262,565.72,1120.48,43217.00,43217.00,
263,565.84,1124.07,41758.00,41758.00,
264,565.95,1127.66,36089.00,36089.00,
265,566.07,1131.25,27605.00,27605.00,
266,566.18,1134.84,27772.00,27772.00,
267,566.30,1138.42,58743.00,58743.00,
268,566.41,1142.00,27132.00,27132.00,
269,566.53,1145.58,25266.00,25266.00,
270,566.64,1149.16,24804.00,24804.00,
271,566.76,1152.73,24075.00,24075.00,
272,566.87,1156.30,23588.00,23588.00,
273,566.99,1159.87,25928.00,25928.00,
274,567.10,1163.44,24180.00,24180.00,
275,567.22,1167.00,23884.00,23884.00,
276,567.33,1170.56,23206.00,23206.00,
277,567.44,1174.12,23941.00,23941.00,
278,567.56,1177.68,23677.00,23677.00,
279,567.67,1181.23,23671.00,23671.00,
280,567.79,1184.78,23884.00,23884.00,
281,567.90,1188.33,24330.00,24330.00,
282,568.02,1191.87,23870.00,23870.00,
283,568.13,1195.42,24656.00,24656.00,
284,568.25,1198.96,24951.00,24951.00,
285,568.36,1202.50,24193.00,24193.00,
286,568.47,1206.03,26016.00,26016.00,
287,568.59,1209.57,24947.00,24947.00,
288,568.70,1213.10,28011.00,28011.00,
289,568.82,1216.63,30756.00,30756.00,
290,568.93,1220.15,35035.00,35035.00,
291,569.04,1223.68,37862.00,37862.00,
292,569.16,1227.20,35907.00,35907.00,
293,569.27,1230.72,30346.00,30346.00,
294,569.39,1234.23,25697.00,25697.00,
295,569.50,1237.75,24947.00,24947.00,
296,569.61,1241.26,25224.00,25224.00,
297,569.73,1244.77,25600.00,25600.00,
298,569.84,1248.28,25852.00,25852.00,
299,569.96,1251.78,25253.00,25253.00,
300,570.07,1255.28,24679.00,24679.00,
301,570.18,1258.78,24191.00,24191.00,
302,570.30,1262.28,24396.00,24396.00,
303,570.41,1265.77,26500.00,26500.00,
304,570.52,1269.26,24715.00,24715.00,
305,570.64,1272.75,25110.00,25110.00,
306,570.75,1276.24,25349.00,25349.00,
307,570.87,1279.72,24905.00,24905.00,
308,570.98,1283.21,25186.00,25186.00,
309,571.09,1286.69,25144.00,25144.00,
310,571.21,1290.16,27460.00,27460.00,
311,571.32,1293.64,26211.00,26211.00,
312,571.43,1297.11,24888.00,24888.00,
313,571.55,1300.58,25739.00,25739.00,
314,571.66,1304.05,28001.00,28001.00,
315,571.77,1307.51,31384.00,31384.00,
316,571.89,1310.98,35075.00,35075.00,
317,572.00,1314.44,38171.00,38171.00,
318,572.11,1317.89,35692.00,35692.00,
319,572.22,1321.35,30483.00,30483.00,
320,572.34,1324.80,25666.00,25666.00,
321,572.45,1328.25,25843.00,25843.00,
322,572.56,1331.70,25689.00,25689.00,
323,572.68,1335.15,25600.00,25600.00,
324,572.79,1338.59,26382.00,26382.00,
325,572.90,1342.03,26502.00,26502.00,
326,573.02,1345.47,27907.00,27907.00,
327,573.13,1348.90,25268.00,25268.00,
328,573.24,1352.34,26002.00,26002.00,
329,573.35,1355.77,25459.00,25459.00,
330,573.47,1359.20,26312.00,26312.00,
331,573.58,1362.62,26230.00,26230.00,
332,573.69,1366.05,27039.00,27039.00,
333,573.81,1369.47,26557.00,26557.00,
334,573.92,1372.89,26781.00,26781.00,
335,574.03,1376.31,27428.00,27428.00,
336,574.14,1379.72,27521.00,27521.00,
337,574.26,1383.13,28017.00,28017.00,
338,574.37,1386.54,27383.00,27383.00,
339,574.48,1389.95,32831.00,32831.00,
340,574.59,1393.35,51719.00,51719.00,
341,574.70,1396.76,65535.00,65535.00,
342,574.82,1400.16,65535.00,65535.00,
343,574.93,1403.55,65535.00,65535.00,
344,575.04,1406.95,65535.00,65535.00,
345,575.15,1410.34,63426.00,63426.00,
346,575.27,1413.73,35085.00,35085.00,
347,575.38,1417.12,29393.00,29393.00,
348,575.49,1420.51,28009.00,28009.00,
349,575.60,1423.89,28755.00,28755.00,
350,575.71,1427.27,29471.00,29471.00,
351,575.83,1430.65,32890.00,32890.00,
352,575.94,1434.02,37097.00,37097.00,
353,576.05,1437.40,49782.00,49782.00,
354,576.16,1440.77,65535.00,65535.00,
355,576.27,1444.14,65535.00,65535.00,
356,576.39,1447.51,65535.00,65535.00,
357,576.50,1450.87,65535.00,65535.00,
358,576.61,1454.23,65535.00,65535.00,
359,576.72,1457.59,65535.00,65535.00,
360,576.83,1460.95,65535.00,65535.00,
361,576.94,1464.30,47267.00,47267.00,
362,577.06,1467.66,29465.00,29465.00,
363,577.17,1471.01,29186.00,29186.00,
364,577.28,1474.35,30188.00,30188.00,
365,577.39,1477.70,29750.00,29750.00,
366,577.50,1481.04,28744.00,28744.00,
367,577.61,1484.38,30289.00,30289.00,
368,577.73,1487.72,29866.00,29866.00,
369,577.84,1491.06,29061.00,29061.00,
370,577.95,1494.39,29928.00,29928.00,
371,578.06,1497.72,29769.00,29769.00,
372,578.17,1501.05,29826.00,29826.00,
373,578.28,1504.38,29909.00,29909.00,
374,578.39,1507.70,29482.00,29482.00,
375,578.50,1511.02,30485.00,30485.00,
376,578.62,1514.34,30889.00,30889.00,
377,578.73,1517.66,30802.00,30802.00,
378,578.84,1520.98,29173.00,29173.00,
379,578.95,1524.29,29141.00,29141.00,
380,579.06,1527.60,36334.00,36334.00,
381,579.17,1530.91,30604.00,30604.00,
382,579.28,1534.21,30177.00,30177.00,
383,579.39,1537.52,30559.00,30559.00,
384,579.50,1540.82,31022.00,31022.00,
385,579.61,1544.12,30785.00,30785.00,
386,579.72,1547.41,31371.00,31371.00,
387,579.83,1550.71,32355.00,32355.00,
388,579.95,1554.00,31745.00,31745.00,
389,580.06,1557.29,37118.00,37118.00,
390,580.17,1560.57,51217.00,51217.00,
391,580.28,1563.86,65535.00,65535.00,
392,580.39,1567.14,65535.00,65535.00,
393,580.50,1570.42,65535.00,65535.00,
394,580.61,1573.70,65535.00,65535.00,
395,580.72,1576.97,65535.00,65535.00,
396,580.83,1580.25,49982.00,49982.00,
397,580.94,1583.52,39320.00,39320.00,
398,581.05,1586.79,39145.00,39145.00,
399,581.16,1590.05,41082.00,41082.00,
400,581.27,1593.32,40660.00,40660.00,
401,581.38,1596.58,41304.00,41304.00,
402,581.49,1599.84,40250.00,40250.00,
403,581.60,1603.10,46021.00,46021.00,
404,581.71,1606.35,65535.00,65535.00,
405,581.82,1609.60,65535.00,65535.00,
406,581.93,1612.85,65535.00,65535.00,
407,582.04,1616.10,65535.00,65535.00,
408,582.15,1619.35,65535.00,65535.00,
409,582.26,1622.59,65535.00,65535.00,
410,582.37,1625.83,65535.00,65535.00,
411,582.48,1629.07,61716.00,61716.00,
412,582.59,1632.31,49949.00,49949.00,
413,582.70,1635.54,43007.00,43007.00,
414,582.81,1638.77,43295.00,43295.00,
415,582.92,1642.00,45505.00,45505.00,
416,583.03,1645.23,46149.00,46149.00,
417,583.14,1648.45,44827.00,44827.00,
418,583.25,1651.68,44347.00,44347.00,
419,583.36,1654.90,45849.00,45849.00,
420,583.47,1658.12,45936.00,45936.00,
421,583.58,1661.33,47379.00,47379.00,
422,583.69,1664.54,48998.00,48998.00,
423,583.80,1667.76,51591.00,51591.00,
424,583.91,1670.97,53279.00,53279.00,
425,584.02,1674.17,56174.00,56174.00,
426,584.13,1677.38,59274.00,59274.00,
427,584.23,1680.58,63143.00,63143.00,
428,584.34,1683.78,65535.00,65535.00,
429,584.45,1686.98,65535.00,65535.00,
430,584.56,1690.17,65535.00,65535.00,
431,584.67,1693.37,65535.00,65535.00,
432,584.78,1696.56,65535.00,65535.00,
433,584.89,1699.75,65535.00,65535.00,
434,585.00,1702.93,65535.00,65535.00,
435,585.11,1706.12,65535.00,65535.00,
436,585.22,1709.30,65535.00,65535.00,
437,585.33,1712.48,65535.00,65535.00,
438,585.43,1715.66,65535.00,65535.00,
439,585.54,1718.83,65535.00,65535.00,
440,585.65,1722.00,65535.00,65535.00,
441,585.76,1725.17,65535.00,65535.00,
442,585.87,1728.34,65535.00,65535.00,
443,585.98,1731.51,65535.00,65535.00,
444,586.09,1734.67,65535.00,65535.00,
445,586.20,1737.84,65535.00,65535.00,
446,586.30,1740.99,65535.00,65535.00,
447,586.41,1744.15,62456.00,62456.00,
448,586.52,1747.31,61460.00,61460.00,
449,586.63,1750.46,61349.00,61349.00,
450,586.74,1753.61,62885.00,62885.00,
451,586.85,1756.76,64281.00,64281.00,
452,586.95,1759.90,65535.00,65535.00,
453,587.06,1763.05,65535.00,65535.00,
454,587.17,1766.19,65535.00,65535.00,
455,587.28,1769.33,65535.00,65535.00,
456,587.39,1772.47,65535.00,65535.00,
457,587.50,1775.60,65535.00,65535.00,
458,587.60,1778.73,65535.00,65535.00,
459,587.71,1781.87,65535.00,65535.00,
460,587.82,1784.99,65535.00,65535.00,
461,587.93,1788.12,65535.00,65535.00,
462,588.04,1791.24,65535.00,65535.00,
463,588.14,1794.37,65535.00,65535.00,
464,588.25,1797.49,65535.00,65535.00,
465,588.36,1800.60,65535.00,65535.00,
466,588.47,1803.72,65535.00,65535.00,
467,588.58,1806.83,65535.00,65535.00,
468,588.68,1809.94,65535.00,65535.00,
469,588.79,1813.05,65535.00,65535.00,
470,588.90,1816.16,65535.00,65535.00,
471,589.01,1819.26,65429.00,65429.00,
472,589.11,1822.36,59855.00,59855.00,
473,589.22,1825.46,56438.00,56438.00,
474,589.33,1828.56,55024.00,55024.00,
475,589.44,1831.65,55326.00,55326.00,
476,589.54,1834.75,52472.00,52472.00,
477,589.65,1837.84,51424.00,51424.00,
478,589.76,1840.93,52096.00,52096.00,
479,589.87,1844.01,62589.00,62589.00,
480,589.97,1847.10,65535.00,65535.00,
481,590.08,1850.18,65535.00,65535.00,
482,590.19,1853.26,65535.00,65535.00,
483,590.30,1856.34,65535.00,65535.00,
484,590.40,1859.41,65535.00,65535.00,
485,590.51,1862.49,65535.00,65535.00,
486,590.62,1865.56,65535.00,65535.00,
487,590.72,1868.63,65535.00,65535.00,
488,590.83,1871.69,65535.00,65535.00,
489,590.94,1874.76,65535.00,65535.00,
490,591.05,1877.82,65535.00,65535.00,
491,591.15,1880.88,65535.00,65535.00,
492,591.26,1883.94,65535.00,65535.00,
493,591.37,1886.99,65535.00,65535.00,
494,591.47,1890.05,65535.00,65535.00,
495,591.58,1893.10,65535.00,65535.00,
496,591.69,1896.15,65535.00,65535.00,
497,591.79,1899.19,65535.00,65535.00,
498,591.90,1902.24,64197.00,64197.00,
499,592.01,1905.28,62749.00,62749.00,
500,592.11,1908.32,61678.00,61678.00,
501,592.22,1911.36,58862.00,58862.00,
502,592.33,1914.40,53572.00,53572.00,
503,592.43,1917.43,52389.00,52389.00,
504,592.54,1920.46,52455.00,52455.00,
505,592.65,1923.49,53763.00,53763.00,
506,592.75,1926.52,55052.00,55052.00,
507,592.86,1929.55,56651.00,56651.00,
508,592.96,1932.57,58811.00,58811.00,
509,593.07,1935.59,62409.00,62409.00,
510,593.18,1938.61,65535.00,65535.00,
511,593.28,1941.63,65535.00,65535.00,
512,593.39,1944.64,65535.00,65535.00,
513,593.50,1947.65,65535.00,65535.00,
514,593.60,1950.67,65535.00,65535.00,
515,593.71,1953.67,65535.00,65535.00,
516,593.81,1956.68,65535.00,65535.00,
517,593.92,1959.68,65535.00,65535.00,
518,594.03,1962.69,65535.00,65535.00,
519,594.13,1965.69,65535.00,65535.00,
520,594.24,1968.68,65535.00,65535.00,
521,594.34,1971.68,65535.00,65535.00,
522,594.45,1974.67,65535.00,65535.00,
523,594.55,1977.66,65535.00,65535.00,
524,594.66,1980.65,65535.00,65535.00,
525,594.77,1983.64,65535.00,65535.00,
526,594.87,1986.62,65535.00,65535.00,
527,594.98,1989.61,65535.00,65535.00,
528,595.08,1992.59,65535.00,65535.00,
529,595.19,1995.56,65535.00,65535.00,
530,595.29,1998.54,65535.00,65535.00,
531,595.40,2001.52,65535.00,65535.00,
532,595.50,2004.49,65535.00,65535.00,
533,595.61,2007.46,65535.00,65535.00,
534,595.71,2010.42,64535.00,64535.00,
535,595.82,2013.39,64917.00,64917.00,
536,595.92,2016.35,65535.00,65535.00,
537,596.03,2019.32,65535.00,65535.00,
538,596.14,2022.27,65535.00,65535.00,
539,596.24,2025.23,65535.00,65535.00,
540,596.35,2028.19,65535.00,65535.00,
541,596.45,2031.14,65535.00,65535.00,
