ENLIGHTEN Version,2.2.7
Measurement ID,20210317-132409-250580-WP-00532
Serial Number,WP-00532
Model,WP-532-R-SR-S
Label,13:24:09 WP-00532
Declared Match,
Declared Score,0
Scan Averaging,15
Boxcar,0
Technique,Scope
Baseline Correction Algo,
ROI Pixel Start,1023
ROI Pixel End,1023
Slit Width,50
Vignetted,False
Interpolated,False
Raman Intensity Corrected,False
Deconvolved,False
Integration Time,2
Timestamp,2021-03-17 13:24:09.250580
Note,
Temperature,9.942695953194743
CCD C0,534.4705200195312
CCD C1,0.12332911789417267
CCD C2,-1.4740236110810656e-05
CCD C3,-2.6965287780456038e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,532.0
Laser Enable,False
Laser Power,100
Laser Temperature,0
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark
253,564.69,1088.02,0.27,936.07,935.80
254,564.80,1091.64,3.60,938.47,934.87
255,564.92,1095.25,2.87,938.47,935.60
256,565.03,1098.86,7.47,939.87,932.40
257,565.15,1102.47,3.00,940.47,937.47
258,565.26,1106.08,3.67,939.60,935.93
259,565.38,1109.68,4.27,939.73,935.47
260,565.49,1113.28,7.13,943.00,935.87
261,565.61,1116.88,9.27,945.13,935.87
262,565.72,1120.48,11.53,947.00,935.47
263,565.84,1124.07,5.93,942.13,936.20
264,565.95,1127.66,2.87,939.27,936.40
265,566.07,1131.25,7.60,941.73,934.13
266,566.18,1134.84,0.73,937.93,937.20
267,566.30,1138.42,7.80,942.80,935.00
268,566.41,1142.00,1.20,939.87,938.67
269,566.53,1145.58,3.60,938.80,935.20
270,566.64,1149.16,4.13,939.40,935.27
271,566.76,1152.73,2.13,938.47,936.33
272,566.87,1156.30,5.07,939.87,934.80
273,566.99,1159.87,1.60,938.67,937.07
274,567.10,1163.44,1.73,938.73,937.00
275,567.22,1167.00,-1.67,935.80,937.47
276,567.33,1170.56,2.07,936.80,934.73
277,567.44,1174.12,3.80,938.60,934.80
278,567.56,1177.68,6.00,941.47,935.47
279,567.67,1181.23,1.67,939.47,937.80
280,567.79,1184.78,-0.27,936.53,936.80
281,567.90,1188.33,1.27,937.00,935.73
282,568.02,1191.87,4.33,939.27,934.93
283,568.13,1195.42,4.73,939.87,935.13
284,568.25,1198.96,2.27,938.07,935.80
285,568.36,1202.50,4.27,938.60,934.33
286,568.47,1206.03,0.80,937.67,936.87
287,568.59,1209.57,2.67,938.87,936.20
288,568.70,1213.10,3.40,938.93,935.53
289,568.82,1216.63,7.27,941.13,933.87
290,568.93,1220.15,3.73,942.93,939.20
291,569.04,1223.68,0.40,938.27,937.87
292,569.16,1227.20,3.13,939.07,935.93
293,569.27,1230.72,3.73,939.33,935.60
294,569.39,1234.23,3.13,938.07,934.93
295,569.50,1237.75,3.40,941.13,937.73
296,569.61,1241.26,3.07,938.73,935.67
297,569.73,1244.77,-2.13,934.47,936.60
298,569.84,1248.28,4.40,939.80,935.40
299,569.96,1251.78,2.73,938.00,935.27
300,570.07,1255.28,1.27,937.47,936.20
301,570.18,1258.78,-0.80,936.93,937.73
302,570.30,1262.28,-0.40,935.80,936.20
303,570.41,1265.77,3.40,938.53,935.13
304,570.52,1269.26,-0.60,936.27,936.87
305,570.64,1272.75,3.33,938.67,935.33
306,570.75,1276.24,0.00,938.47,938.47
307,570.87,1279.72,1.00,936.00,935.00
308,570.98,1283.21,1.00,936.67,935.67
309,571.09,1286.69,3.13,937.27,934.13
310,571.21,1290.16,0.53,937.47,936.93
311,571.32,1293.64,3.20,938.60,935.40
312,571.43,1297.11,1.67,938.73,937.07
313,571.55,1300.58,0.53,935.67,935.13
314,571.66,1304.05,3.33,938.33,935.00
315,571.77,1307.51,4.80,940.07,935.27
316,571.89,1310.98,7.27,942.60,935.33
317,572.00,1314.44,5.53,941.53,936.00
318,572.11,1317.89,5.20,939.20,934.00
319,572.22,1321.35,2.00,939.40,937.40
320,572.34,1324.80,6.87,940.80,933.93
321,572.45,1328.25,-2.47,934.33,936.80
322,572.56,1331.70,3.13,938.33,935.20
323,572.68,1335.15,2.73,939.20,936.47
324,572.79,1338.59,1.53,937.33,935.80
325,572.90,1342.03,3.93,937.07,933.13
326,573.02,1345.47,3.00,938.20,935.20
327,573.13,1348.90,5.07,939.67,934.60
328,573.24,1352.34,1.33,939.27,937.93
329,573.35,1355.77,1.80,936.93,935.13
330,573.47,1359.20,0.47,936.60,936.13
331,573.58,1362.62,3.33,938.13,934.80
332,573.69,1366.05,7.07,941.73,934.67
333,573.81,1369.47,3.47,939.40,935.93
334,573.92,1372.89,0.20,938.67,938.47
335,574.03,1376.31,0.53,935.67,935.13
336,574.14,1379.72,3.53,939.00,935.47
337,574.26,1383.13,2.53,938.67,936.13
338,574.37,1386.54,6.80,941.07,934.27
339,574.48,1389.95,5.07,942.60,937.53
340,574.59,1393.35,14.13,949.00,934.87
341,574.70,1396.76,16.87,952.27,935.40
342,574.82,1400.16,19.13,954.73,935.60
343,574.93,1403.55,20.93,954.93,934.00
344,575.04,1406.95,11.87,947.53,935.67
345,575.15,1410.34,4.47,942.20,937.73
346,575.27,1413.73,2.73,939.40,936.67
347,575.38,1417.12,5.67,941.00,935.33
348,575.49,1420.51,5.40,941.20,935.80
349,575.60,1423.89,4.93,939.40,934.47
350,575.71,1427.27,2.13,939.73,937.60
351,575.83,1430.65,3.67,939.20,935.53
352,575.94,1434.02,4.67,941.07,936.40
353,576.05,1437.40,17.80,954.07,936.27
354,576.16,1440.77,45.13,981.07,935.93
355,576.27,1444.14,65.87,1001.87,936.00
356,576.39,1447.51,73.87,1012.20,938.33
357,576.50,1450.87,74.47,1010.13,935.67
358,576.61,1454.23,50.27,986.40,936.13
359,576.72,1457.59,30.87,968.80,937.93
360,576.83,1460.95,16.27,953.93,937.67
361,576.94,1464.30,3.53,945.53,942.00
362,577.06,1467.66,0.93,938.13,937.20
363,577.17,1471.01,2.80,937.60,934.80
364,577.28,1474.35,3.53,940.87,937.33
365,577.39,1477.70,3.47,940.33,936.87
366,577.50,1481.04,2.80,940.13,937.33
367,577.61,1484.38,1.40,938.40,937.00
368,577.73,1487.72,2.40,939.33,936.93
369,577.84,1491.06,5.60,939.87,934.27
370,577.95,1494.39,3.07,939.53,936.47
371,578.06,1497.72,5.20,939.80,934.60
372,578.17,1501.05,2.13,940.40,938.27
373,578.28,1504.38,2.73,938.60,935.87
374,578.39,1507.70,5.47,940.20,934.73
375,578.50,1511.02,3.73,940.13,936.40
376,578.62,1514.34,4.73,941.00,936.27
377,578.73,1517.66,3.40,940.87,937.47
378,578.84,1520.98,1.53,939.47,937.93
379,578.95,1524.29,-1.40,939.53,940.93
380,579.06,1527.60,-0.67,939.00,939.67
381,579.17,1530.91,0.33,939.80,939.47
382,579.28,1534.21,4.93,941.13,936.20
383,579.39,1537.52,0.80,939.67,938.87
384,579.50,1540.82,-0.53,937.00,937.53
385,579.61,1544.12,5.53,941.87,936.33
386,579.72,1547.41,4.47,940.40,935.93
387,579.83,1550.71,4.07,940.73,936.67
388,579.95,1554.00,2.87,940.47,937.60
389,580.06,1557.29,4.53,943.53,939.00
390,580.17,1560.57,10.07,948.27,938.20
391,580.28,1563.86,13.13,951.27,938.13
392,580.39,1567.14,16.47,954.53,938.07
393,580.50,1570.42,16.40,954.40,938.00
394,580.61,1573.70,9.60,949.60,940.00
395,580.72,1576.97,7.80,945.07,937.27
396,580.83,1580.25,6.60,942.87,936.27
397,580.94,1583.52,6.53,942.00,935.47
398,581.05,1586.79,7.20,945.13,937.93
399,581.16,1590.05,4.53,944.00,939.47
400,581.27,1593.32,4.07,940.73,936.67
401,581.38,1596.58,2.93,942.00,939.07
402,581.49,1599.84,6.07,943.53,937.47
403,581.60,1603.10,13.13,949.53,936.40
404,581.71,1606.35,25.13,961.60,936.47
405,581.82,1609.60,30.87,969.93,939.07
406,581.93,1612.85,40.73,979.47,938.73
407,582.04,1616.10,46.27,982.87,936.60
408,582.15,1619.35,35.40,974.20,938.80
409,582.26,1622.59,26.67,964.13,937.47
410,582.37,1625.83,12.20,952.07,939.87
411,582.48,1629.07,8.33,946.73,938.40
412,582.59,1632.31,3.20,943.60,940.40
413,582.70,1635.54,7.53,943.87,936.33
414,582.81,1638.77,6.13,944.80,938.67
415,582.92,1642.00,7.73,945.20,937.47
416,583.03,1645.23,3.00,943.87,940.87
417,583.14,1648.45,1.87,941.67,939.80
418,583.25,1651.68,6.80,943.40,936.60
419,583.36,1654.90,6.60,944.73,938.13
420,583.47,1658.12,8.27,945.53,937.27
421,583.58,1661.33,2.27,943.73,941.47
422,583.69,1664.54,7.00,944.60,937.60
423,583.80,1667.76,6.20,946.00,939.80
424,583.91,1670.97,7.87,946.20,938.33
425,584.02,1674.17,11.20,947.53,936.33
426,584.13,1677.38,8.93,946.47,937.53
427,584.23,1680.58,8.33,948.60,940.27
428,584.34,1683.78,7.53,947.13,939.60
429,584.45,1686.98,18.67,955.20,936.53
430,584.56,1690.17,20.33,960.20,939.87
431,584.67,1693.37,55.80,992.40,936.60
432,584.78,1696.56,385.67,1324.47,938.80
433,584.89,1699.75,1749.60,2687.73,938.13
434,585.00,1702.93,3142.27,4078.93,936.67
435,585.11,1706.12,4260.33,5198.07,937.73
436,585.22,1709.30,5018.27,5956.73,938.47
437,585.33,1712.48,4529.13,5465.67,936.53
438,585.43,1715.66,3277.27,4215.33,938.07
439,585.54,1718.83,2153.53,3091.60,938.07
440,585.65,1722.00,1132.93,2072.00,939.07
441,585.76,1725.17,334.53,1272.13,937.60
442,585.87,1728.34,56.27,992.27,936.00
443,585.98,1731.51,20.20,958.80,938.60
444,586.09,1734.67,13.47,951.67,938.20
445,586.20,1737.84,9.87,948.27,938.40
446,586.30,1740.99,10.20,945.87,935.67
447,586.41,1744.15,9.40,946.67,937.27
448,586.52,1747.31,5.73,944.93,939.20
449,586.63,1750.46,6.80,944.67,937.87
450,586.74,1753.61,6.47,943.60,937.13
451,586.85,1756.76,10.13,948.07,937.93
452,586.95,1759.90,10.73,949.13,938.40
453,587.06,1763.05,13.33,951.73,938.40
454,587.17,1766.19,11.13,953.67,942.53
455,587.28,1769.33,15.47,954.67,939.20
456,587.39,1772.47,15.27,954.87,939.60
457,587.50,1775.60,15.47,955.67,940.20
458,587.60,1778.73,30.47,970.20,939.73
459,587.71,1781.87,256.73,1195.40,938.67
460,587.82,1784.99,1133.53,2075.07,941.53
461,587.93,1788.12,2022.67,2964.33,941.67
